,起飛時間(出發),起飛地點(出發),抵達時間(出發),抵達地點(出發),起飛時間(回程),起飛地點(回程),抵達時間(回程),抵達地點(回程),航空公司,購買網站,一人價格(TWD),兩人總價(TWD),買票去！
1,20:00,TPE,23:30,ICN,07:50,ICN,09:25,TPE,台灣虎航、真航空,Trip.com,5756,11512,https://tinyurl.com/25yeykfc
2,20:00,TPE,23:30,ICN,00:30,ICN,02:15,TPE,台灣虎航,ly.com,6197,12394,https://tinyurl.com/28s4lkyz
3,17:50,TPE,21:35,ICN,07:50,ICN,09:25,TPE,酷航、真航空,Trip.com,6933,13866,https://tinyurl.com/25v3oy5v
4,20:00,TPE,23:30,ICN,09:05,ICN,10:50,TPE,台灣虎航、濟州航空,Trip.com,7243,14486,https://tinyurl.com/287zjpe9
5,20:00,TPE,23:30,ICN,11:15,GMP,12:55,TSA,台灣虎航、易斯達航空,Trip.com,7286,14572,https://tinyurl.com/26wdg36o
6,17:50,TPE,21:35,ICN,00:30,ICN,02:15,TPE,酷航、台灣虎航,Trip.com,7724,15448,https://tinyurl.com/25rmz7j2
7,20:00,TPE,23:30,ICN,08:55,ICN,14:25,TPE,台灣虎航、中國東方航空,Trip.com,6701,13402,https://tinyurl.com/268d8ewj
8,10:30,TPE,13:55,ICN,07:50,ICN,09:25,TPE,易斯達航空、真航空,Trip.com,7935,15870,https://tinyurl.com/255ctwls
9,11:50,TPE,15:15,ICN,07:50,ICN,09:25,TPE,濟州航空、真航空,Trip.com,8258,16516,https://tinyurl.com/27bdjuaa
10,18:55,TPE,22:35,ICN,07:50,ICN,09:25,TPE,大韓航空、真航空,Trip.com,8259,16518,https://tinyurl.com/28jznjhs
11,20:00,TPE,23:30,ICN,10:00,ICN,11:30,TPE,台灣虎航、韓亞航空,Trip.com,8335,16670,https://tinyurl.com/2dcaqm89
12,10:35,TPE,14:05,ICN,07:50,ICN,09:25,TPE,真航空,ly.com,8324,16648,https://tinyurl.com/2yd298r8
13,20:00,TPE,23:30,ICN,09:55,ICN,16:20,TPE,台灣虎航、澳門航空,Trip.com,6991,13982,https://tinyurl.com/2xpg7e6w
