,起飛時間(出發),起飛地點(出發),抵達時間(出發),抵達地點(出發),起飛時間(回程),起飛地點(回程),抵達時間(回程),抵達地點(回程),航空公司,購買網站,一人價格(TWD),兩人總價(TWD),買票去！
14,17:50,TPE,21:35,ICN,09:05,ICN,10:50,TPE,酷航、濟州航空,Trip.com,8420,16840,https://tinyurl.com/24gvzetk
15,17:50,TPE,21:35,ICN,11:15,GMP,12:55,TSA,酷航、易斯達航空,Trip.com,8463,16926,https://tinyurl.com/2b2xl7rw
16,10:30,TPE,13:55,ICN,00:30,ICN,02:15,TPE,易斯達航空、台灣虎航,Trip.com,8726,17452,https://tinyurl.com/29kx5vdm
17,17:10,TPE,20:40,ICN,07:50,ICN,09:25,TPE,韓亞航空、真航空,Trip.com,8863,17726,https://tinyurl.com/2c8f5gpj
18,11:50,TPE,15:15,ICN,00:30,ICN,02:15,TPE,濟州航空、台灣虎航,Trip.com,9049,18098,https://tinyurl.com/2yll79av
19,17:50,TPE,21:35,ICN,08:55,ICN,14:25,TPE,酷航、中國東方航空,Trip.com,7878,15756,https://tinyurl.com/286na29a
20,18:55,TPE,22:35,ICN,00:30,ICN,02:15,TPE,大韓航空、台灣虎航,Trip.com,9050,18100,https://tinyurl.com/28dzlmg2
21,17:10,TPE,20:40,ICN,00:30,ICN,02:15,TPE,韓亞航空、台灣虎航,Kiwi.com,9100,18200,https://tinyurl.com/2bktpzaj
22,10:30,TPE,13:55,ICN,09:05,ICN,10:50,TPE,易斯達航空、濟州航空,Trip.com,9422,18844,https://tinyurl.com/28raxqys
23,10:30,TPE,13:55,ICN,11:15,GMP,12:55,TSA,易斯達航空,Trip.com,9465,18930,https://tinyurl.com/2a2f4f9d
24,17:50,TPE,21:35,ICN,10:00,ICN,11:30,TPE,酷航、韓亞航空,Trip.com,9512,19024,https://tinyurl.com/26hs5yqh
25,17:50,TPE,21:35,ICN,09:55,ICN,16:20,TPE,酷航、澳門航空,Trip.com,8168,16336,https://tinyurl.com/2beydv3r
26,11:50,TPE,15:15,ICN,09:05,ICN,10:50,TPE,濟州航空,Trip.com,9745,19490,https://tinyurl.com/2yd2v4wh
27,11:50,TPE,15:15,ICN,11:15,GMP,12:55,TSA,濟州航空、易斯達航空,Trip.com,9788,19576,https://tinyurl.com/25p4bx9e
28,18:55,TPE,22:35,ICN,09:05,ICN,10:50,TPE,大韓航空、濟州航空,Trip.com,9746,19492,https://tinyurl.com/25ln56mz
29,20:00,TPE,23:30,ICN,08:55,ICN,16:15,TSA,台灣虎航、中國東方航空,Trip.com,8129,16258,https://tinyurl.com/25szgqta
30,18:55,TPE,22:35,ICN,11:15,GMP,12:55,TSA,大韓航空、易斯達航空,Trip.com,9789,19578,https://tinyurl.com/2769gjzp
31,17:10,TPE,20:40,ICN,11:15,GMP,12:55,TSA,韓亞航空、易斯達航空,Kiwi.com,9934,19867,https://tinyurl.com/23os9qaw
32,17:10,TPE,20:40,ICN,09:05,ICN,10:50,TPE,韓亞航空、濟州航空,Kiwi.com,9938,19876,https://tinyurl.com/25555mfb
33,10:30,TPE,13:55,ICN,08:55,ICN,14:25,TPE,易斯達航空、中國東方航空,Trip.com,8880,17760,https://tinyurl.com/24rsl8ln
34,18:55,TPE,22:35,ICN,07:50,ICN,09:25,TPE,大韓航空,ly.com,10012,20024,https://tinyurl.com/2ya8ls5r
35,20:00,TPE,23:30,ICN,21:35,ICN,10:15,TSA,台灣虎航、中國東方航空,Trip.com,6755,13510,https://tinyurl.com/25vo9e4d
36,20:00,TPE,23:30,ICN,09:55,ICN,19:15,TPE,台灣虎航、澳門航空,Trip.com,7805,15610,https://tinyurl.com/23m9dmt2
37,10:35,TPE,14:05,ICN,00:30,ICN,02:15,TPE,真航空、台灣虎航,Trip.com,10123,20246,https://tinyurl.com/26tjsmza
38,20:00,TPE,23:30,ICN,12:35,ICN,14:10,TPE,台灣虎航、中華航空,Trip.com,10270,20540,https://tinyurl.com/283ycvfu
39,11:50,TPE,15:15,ICN,08:55,ICN,14:25,TPE,濟州航空、中國東方航空,Trip.com,9203,18406,https://tinyurl.com/27t6yb95
40,18:55,TPE,22:35,ICN,08:55,ICN,14:25,TPE,大韓航空、中國東方航空,Trip.com,9204,18408,https://tinyurl.com/2d63xeww
41,10:30,TPE,13:55,ICN,10:00,ICN,11:30,TPE,易斯達航空、韓亞航空,Trip.com,10514,21028,https://tinyurl.com/2266j98z
42,17:10,TPE,20:40,ICN,08:55,ICN,14:25,TPE,韓亞航空、中國東方航空,Kiwi.com,9322,18644,https://tinyurl.com/2y4tr77p
43,20:00,TPE,23:30,ICN,12:45,ICN,20:30,TPE,台灣虎航、香港快運航空,Trip.com,8688,17376,https://tinyurl.com/28hdafx5
44,10:30,TPE,13:55,ICN,09:55,ICN,16:20,TPE,易斯達航空、澳門航空,Trip.com,9170,18340,https://tinyurl.com/24rlzrkf
45,16:10,TPE,19:45,ICN,07:50,ICN,09:25,TPE,中華航空、真航空,Trip.com,10631,21262,https://tinyurl.com/29kdluat
46,11:50,TPE,15:15,ICN,10:00,ICN,11:30,TPE,濟州航空、韓亞航空,Trip.com,10837,21674,https://tinyurl.com/2998rqc9
47,20:00,TPE,23:30,ICN,14:45,ICN,20:45,TPE,台灣虎航、香港航空,Trip.com,9486,18972,https://tinyurl.com/2bwedpy4
48,18:55,TPE,22:35,ICN,10:00,ICN,11:30,TPE,大韓航空、韓亞航空,Trip.com,10838,21676,https://tinyurl.com/2dhtys2a
49,10:35,TPE,14:05,ICN,09:05,ICN,10:50,TPE,真航空、濟州航空,Trip.com,10819,21638,https://tinyurl.com/2xnar9m9
50,10:35,TPE,14:05,ICN,11:15,GMP,12:55,TSA,真航空、易斯達航空,Trip.com,10862,21724,https://tinyurl.com/2a8sxf34
51,20:00,TPE,23:30,ICN,10:30,ICN,12:10,TPE,台灣虎航、大韓航空,Trip.com,10871,21742,https://tinyurl.com/23r73fol
52,11:50,TPE,15:15,ICN,09:55,ICN,16:20,TPE,濟州航空、澳門航空,Trip.com,9493,18986,https://tinyurl.com/22dg2ohq
53,18:55,TPE,22:35,ICN,09:55,ICN,16:20,TPE,大韓航空、澳門航空,Trip.com,9494,18988,https://tinyurl.com/26f7v6y2
54,20:00,TPE,23:30,ICN,12:00,ICN,13:35,TPE,台灣虎航、長榮航空,Trip.com,11029,22058,https://tinyurl.com/2236zao5
55,20:00,TPE,23:30,ICN,13:50,GMP,15:25,TSA,台灣虎航、長榮航空,Trip.com,11029,22058,https://tinyurl.com/27shr25e
56,09:45,TPE,22:45,ICN,07:50,ICN,09:25,TPE,澳門航空、真航空,Trip.com,8226,16452,https://tinyurl.com/22pg6zlc
57,17:50,TPE,21:35,ICN,08:55,ICN,16:15,TSA,酷航、中國東方航空,Trip.com,9306,18612,https://tinyurl.com/2773fhd6
58,18:55,TPE,22:35,ICN,10:30,ICN,12:10,TPE,大韓航空,ly.com,11052,22104,https://tinyurl.com/22ebcemp
59,17:50,TPE,21:35,ICN,21:35,ICN,10:15,TSA,酷航、中國東方航空,GotoGate,7736,15471,https://tinyurl.com/25llrecx
60,17:10,TPE,20:40,ICN,09:55,ICN,16:20,TPE,韓亞航空、澳門航空,Kiwi.com,9868,19736,https://tinyurl.com/257v46vg
61,17:50,TPE,21:35,ICN,09:55,ICN,19:15,TPE,酷航、澳門航空,Trip.com,8982,17964,https://tinyurl.com/224ysxt4
62,14:00,TSA,17:25,GMP,07:50,ICN,09:25,TPE,德威航空、真航空,Trip.com,11411,22822,https://tinyurl.com/2bhe8wd5
63,20:05,TPE,13:15,ICN,07:50,ICN,09:25,TPE,澳門航空、真航空,Trip.com,7299,14598,https://tinyurl.com/252qcxym
64,17:10,TPE,20:40,ICN,10:00,ICN,11:30,TPE,韓亞航空,Trip.com,11442,22884,https://tinyurl.com/2ag75fxf
65,16:10,TPE,19:45,ICN,00:30,ICN,02:15,TPE,中華航空、台灣虎航,Trip.com,11422,22844,https://tinyurl.com/2cbvavs9
66,17:50,TPE,21:35,ICN,12:35,ICN,14:10,TPE,酷航、中華航空,Trip.com,11447,22894,https://tinyurl.com/2be2onec
67,13:15,TPE,17:05,ICN,07:50,ICN,09:25,TPE,韓亞航空、真航空,Trip.com,11497,22994,https://tinyurl.com/25qt85tu
68,16:10,TPE,19:45,ICN,12:35,ICN,14:10,TPE,中華航空,ly.com,11641,23282,https://tinyurl.com/23teg8p5
69,20:00,TPE,23:30,ICN,12:55,ICN,17:40,TPE,台灣虎航、中國東方航空,Trip.com,10783,21566,https://tinyurl.com/23j4vrvh
70,17:50,TPE,21:35,ICN,12:45,ICN,20:30,TPE,酷航、香港快運航空,Trip.com,9865,19730,https://tinyurl.com/23qxaf59
71,10:35,TPE,14:05,ICN,10:00,ICN,11:30,TPE,真航空、韓亞航空,Trip.com,11911,23822,https://tinyurl.com/26pk44fq
72,20:00,TPE,23:30,ICN,14:15,ICN,15:50,TPE,台灣虎航、韓亞航空,Trip.com,11906,23812,https://tinyurl.com/28lb9lak
73,09:45,TPE,22:45,ICN,00:30,ICN,02:15,TPE,澳門航空、台灣虎航,Trip.com,9017,18034,https://tinyurl.com/24qepry3
74,10:30,TPE,13:55,ICN,08:55,ICN,16:15,TSA,易斯達航空、中國東方航空,Trip.com,10308,20616,https://tinyurl.com/2cg7qfk4
75,17:50,TPE,21:35,ICN,14:45,ICN,20:45,TPE,酷航、香港航空,Trip.com,10663,21326,https://tinyurl.com/232sch33
76,20:00,TPE,23:30,ICN,14:15,ICN,08:55,TPE,台灣虎航、澳門航空,Trip.com,6991,13982,https://tinyurl.com/27wylddd
77,20:45,TSA,16:20,ICN,07:50,ICN,09:25,TPE,廈門航空、真航空,Trip.com,7293,14586,https://tinyurl.com/27jkco7b
78,17:50,TPE,21:35,ICN,10:30,ICN,12:10,TPE,酷航、大韓航空,Trip.com,12048,24096,https://tinyurl.com/2b47c4n7
79,16:10,TPE,19:45,ICN,09:05,ICN,10:50,TPE,中華航空、濟州航空,Trip.com,12118,24236,https://tinyurl.com/2dh3dmze
80,16:10,TPE,19:45,ICN,11:15,GMP,12:55,TSA,中華航空、易斯達航空,Trip.com,12161,24322,https://tinyurl.com/272fgn6v
81,20:00,TPE,23:30,ICN,11:40,GMP,15:40,TPE,台灣虎航、釜山航空,Trip.com,11495,22990,https://tinyurl.com/2dfcr98g
82,14:00,TSA,17:25,GMP,00:30,ICN,02:15,TPE,德威航空、台灣虎航,Trip.com,12202,24404,https://tinyurl.com/2abgz364
83,10:30,TPE,13:55,ICN,21:35,ICN,10:15,TSA,易斯達航空、中國東方航空,Trip.com,8934,17868,https://tinyurl.com/258eujm2
84,20:05,TPE,13:15,ICN,00:30,ICN,02:15,TPE,澳門航空、台灣虎航,Trip.com,8090,16180,https://tinyurl.com/2aobvkem
85,17:50,TPE,21:35,ICN,13:50,GMP,15:25,TSA,酷航、長榮航空,Trip.com,12206,24412,https://tinyurl.com/2akupqrq
86,17:50,TPE,21:35,ICN,12:00,ICN,13:35,TPE,酷航、長榮航空,Trip.com,12206,24412,https://tinyurl.com/2469srga
87,10:30,TPE,13:55,ICN,09:55,ICN,19:15,TPE,易斯達航空、澳門航空,Trip.com,9984,19968,https://tinyurl.com/22mzr4p2
88,17:10,TPE,20:40,ICN,12:00,ICN,13:35,TPE,韓亞航空,ly.com,12311,24622,https://tinyurl.com/24y53kjg
89,11:50,TPE,15:15,ICN,08:55,ICN,16:15,TSA,濟州航空、中國東方航空,Trip.com,10631,21262,https://tinyurl.com/28d6gftd
90,11:50,TPE,15:15,ICN,21:35,ICN,10:15,TSA,濟州航空、中國東方航空,GotoGate,9076,18151,https://tinyurl.com/24mccoag
91,19:45,TSA,12:30,ICN,07:50,ICN,09:25,TPE,廈門航空、真航空,Trip.com,8415,16830,https://tinyurl.com/24t7obh8
92,18:55,TPE,22:35,ICN,08:55,ICN,16:15,TSA,大韓航空、中國東方航空,Trip.com,10632,21264,https://tinyurl.com/28uwjqxh
93,10:30,TPE,13:55,ICN,12:35,ICN,14:10,TPE,易斯達航空、中華航空,Trip.com,12449,24898,https://tinyurl.com/2457gna3
94,13:15,TPE,17:05,ICN,00:30,ICN,02:15,TPE,韓亞航空、台灣虎航,Trip.com,12288,24576,https://tinyurl.com/2c7xl5wn
95,18:55,TPE,22:35,ICN,21:35,ICN,10:15,TSA,大韓航空、中國東方航空,GotoGate,9073,18145,https://tinyurl.com/22xud5vj
96,10:35,TPE,14:05,ICN,07:50,ICN,09:25,TPE,大韓航空,GotoGate,12467,24933,https://tinyurl.com/2ycgyl6b
97,20:00,TPE,23:30,ICN,19:25,GMP,10:00,TPE,台灣虎航、大韓航空,Trip.com,8568,17136,https://tinyurl.com/2a3zrbq5
98,11:50,TPE,15:15,ICN,09:55,ICN,19:15,TPE,濟州航空、澳門航空,Trip.com,10307,20614,https://tinyurl.com/28b8rlz7
99,09:45,TPE,22:45,ICN,09:05,ICN,10:50,TPE,澳門航空、濟州航空,Trip.com,9713,19426,https://tinyurl.com/28u4a2sz
100,20:00,TPE,23:30,ICN,20:50,ICN,22:30,TPE,台灣虎航、中華航空,Trip.com,12599,25198,https://tinyurl.com/22fgd3h2
101,09:45,TPE,22:45,ICN,11:15,GMP,12:55,TSA,澳門航空、易斯達航空,Trip.com,9756,19512,https://tinyurl.com/27bmlwrc
102,18:55,TPE,22:35,ICN,09:55,ICN,19:15,TPE,大韓航空、澳門航空,Trip.com,10308,20616,https://tinyurl.com/28cweys5
103,10:30,TPE,13:55,ICN,12:45,ICN,20:30,TPE,易斯達航空、香港快運航空,Trip.com,10867,21734,https://tinyurl.com/28rwzrg4
104,11:50,TPE,15:15,ICN,12:35,ICN,14:10,TPE,濟州航空、中華航空,Trip.com,12772,25544,https://tinyurl.com/2a34mgnm
105,13:40,TSA,20:45,ICN,08:55,ICN,14:25,TPE,上海航空、中國東方航空,雄獅旅遊,10523,21046,https://tinyurl.com/2c95cec4
106,16:10,TPE,19:45,ICN,08:55,ICN,14:25,TPE,中華航空、中國東方航空,Trip.com,11576,23152,https://tinyurl.com/23gcxafc
107,18:55,TPE,22:35,ICN,12:35,ICN,14:10,TPE,大韓航空、中華航空,Trip.com,12773,25546,https://tinyurl.com/2csxrsmf
108,20:00,TPE,23:30,ICN,16:10,ICN,17:50,TPE,台灣虎航、大韓航空,Trip.com,12869,25738,https://tinyurl.com/2a89enkg
109,14:00,TSA,17:25,GMP,09:05,ICN,10:50,TPE,德威航空、濟州航空,Trip.com,12898,25796,https://tinyurl.com/2y6yrt22
110,20:05,TPE,13:15,ICN,09:05,ICN,10:50,TPE,澳門航空、濟州航空,Trip.com,8786,17572,https://tinyurl.com/284rktdv
111,14:00,TSA,17:25,GMP,11:15,GMP,12:55,TSA,德威航空、易斯達航空,Trip.com,12941,25882,https://tinyurl.com/246gv8hz
112,20:05,TPE,13:15,ICN,11:15,GMP,12:55,TSA,澳門航空、易斯達航空,Trip.com,8829,17658,https://tinyurl.com/278mly9w
113,20:45,TSA,16:20,ICN,00:30,ICN,02:15,TPE,廈門航空、台灣虎航,Trip.com,8084,16168,https://tinyurl.com/25633u8d
114,17:10,TPE,20:40,ICN,08:55,ICN,16:15,TSA,韓亞航空、中國東方航空,Trip.com,11236,22472,https://tinyurl.com/24w7payl
115,10:30,TPE,13:55,ICN,14:45,ICN,20:45,TPE,易斯達航空、香港航空,Trip.com,11665,23330,https://tinyurl.com/23dq47xf
116,17:50,TPE,21:35,ICN,12:55,ICN,17:40,TPE,酷航、中國東方航空,Trip.com,11960,23920,https://tinyurl.com/29lt9nnz
117,11:50,TPE,15:15,ICN,12:45,ICN,20:30,TPE,濟州航空、香港快運航空,Trip.com,11190,22380,https://tinyurl.com/28ut22gd
118,10:30,TPE,13:55,ICN,10:30,ICN,12:10,TPE,易斯達航空、大韓航空,Trip.com,13050,26100,https://tinyurl.com/294odmn5
119,18:55,TPE,22:35,ICN,12:45,ICN,20:30,TPE,大韓航空、香港快運航空,Trip.com,11191,22382,https://tinyurl.com/222hesod
120,13:15,TPE,17:05,ICN,09:05,ICN,10:50,TPE,韓亞航空、濟州航空,Trip.com,12984,25968,https://tinyurl.com/24a8o6mq
121,13:15,TPE,17:05,ICN,11:15,GMP,12:55,TSA,韓亞航空、易斯達航空,Trip.com,13027,26054,https://tinyurl.com/29gohgqo
122,17:50,TPE,21:35,ICN,14:15,ICN,15:50,TPE,酷航、韓亞航空,Trip.com,13083,26166,https://tinyurl.com/2b265jru
123,20:00,TPE,23:30,ICN,22:35,ICN,12:45,TPE,台灣虎航、香港快運航空,Trip.com,9393,18786,https://tinyurl.com/23cd4v8t
124,12:20,TSA,20:45,ICN,08:55,ICN,14:25,TPE,上海航空、中國東方航空,雄獅旅遊,10523,21046,https://tinyurl.com/23y8ara9
125,10:30,TPE,13:55,ICN,13:50,GMP,15:25,TSA,易斯達航空、長榮航空,Trip.com,13208,26416,https://tinyurl.com/25an6zzk
126,10:30,TPE,13:55,ICN,12:00,ICN,13:35,TPE,易斯達航空、長榮航空,Trip.com,13208,26416,https://tinyurl.com/2ythcvmk
127,17:10,TPE,20:40,ICN,21:35,ICN,10:15,TSA,韓亞航空、中國東方航空,Trip.com,9862,19724,https://tinyurl.com/22ur5xnd
128,09:45,TPE,22:45,ICN,08:55,ICN,14:25,TPE,澳門航空、中國東方航空,Trip.com,9171,18342,https://tinyurl.com/2clg3dy2
129,16:10,TPE,19:45,ICN,10:00,ICN,11:30,TPE,中華航空、韓亞航空,Trip.com,13210,26420,https://tinyurl.com/2cxuyzdq
130,19:45,TSA,12:30,ICN,00:30,ICN,02:15,TPE,廈門航空、台灣虎航,Trip.com,9206,18412,https://tinyurl.com/258wk58m
131,17:10,TPE,20:40,ICN,09:55,ICN,19:15,TPE,韓亞航空、澳門航空,Trip.com,10912,21824,https://tinyurl.com/23qw4src
132,11:50,TPE,15:15,ICN,14:45,ICN,20:45,TPE,濟州航空、香港航空,Trip.com,11988,23976,https://tinyurl.com/237mhjez
133,16:10,TPE,19:45,ICN,09:55,ICN,16:20,TPE,中華航空、澳門航空,Trip.com,11866,23732,https://tinyurl.com/24cdff27
134,09:45,TPE,22:45,ICN,09:55,ICN,16:20,TPE,澳門航空,ly.com,9062,18124,https://tinyurl.com/29zt8p65
135,18:55,TPE,22:35,ICN,14:45,ICN,20:45,TPE,大韓航空、香港航空,Trip.com,11989,23978,https://tinyurl.com/2dyplpc3
136,17:50,TPE,21:35,ICN,14:15,ICN,08:55,TPE,酷航、澳門航空,Trip.com,8168,16336,https://tinyurl.com/27s9sf85
137,11:50,TPE,15:15,ICN,10:30,ICN,12:10,TPE,濟州航空、大韓航空,Trip.com,13373,26746,https://tinyurl.com/2yuqrgu2
138,17:10,TPE,20:40,ICN,12:35,ICN,14:10,TPE,韓亞航空、中華航空,Trip.com,13377,26754,https://tinyurl.com/2b9fm245
139,20:00,TPE,23:30,ICN,22:35,ICN,14:25,TPE,台灣虎航、香港快運航空,Trip.com,9179,18358,https://tinyurl.com/22kvpew8
140,17:50,TPE,21:35,ICN,11:40,GMP,15:40,TPE,酷航、釜山航空,Trip.com,12672,25344,https://tinyurl.com/22rr426x
141,14:00,TSA,17:25,GMP,08:55,ICN,14:25,TPE,德威航空、中國東方航空,Trip.com,12356,24712,https://tinyurl.com/29qju2ht
142,11:50,TPE,15:15,ICN,12:00,ICN,13:35,TPE,濟州航空、長榮航空,Trip.com,13531,27062,https://tinyurl.com/223qtdvs
143,11:50,TPE,15:15,ICN,13:50,GMP,15:25,TSA,濟州航空、長榮航空,Trip.com,13531,27062,https://tinyurl.com/26lxyg5j
144,20:05,TPE,13:15,ICN,08:55,ICN,14:25,TPE,澳門航空、中國東方航空,Trip.com,8244,16488,https://tinyurl.com/286emj6p
145,18:55,TPE,22:35,ICN,12:00,ICN,13:35,TPE,大韓航空、長榮航空,Trip.com,13532,27064,https://tinyurl.com/2cw6plu6
146,18:55,TPE,22:35,ICN,13:50,GMP,15:25,TSA,大韓航空、長榮航空,Trip.com,13532,27064,https://tinyurl.com/248p77e3
147,17:10,TPE,20:40,ICN,14:45,ICN,20:45,TPE,韓亞航空、香港航空,Kiwi.com,12287,24573,https://tinyurl.com/25ayw9et
148,09:45,TPE,22:45,ICN,10:00,ICN,11:30,TPE,澳門航空、韓亞航空,Trip.com,10805,21610,https://tinyurl.com/26y26umy
149,17:10,TPE,20:40,ICN,12:45,ICN,20:30,TPE,韓亞航空、香港快運航空,Trip.com,11795,23590,https://tinyurl.com/2cywdmkx
150,20:45,TSA,16:20,ICN,09:05,ICN,10:50,TPE,廈門航空、濟州航空,Trip.com,8780,17560,https://tinyurl.com/2dyzjbas
151,15:20,TPE,05:50,ICN,07:50,ICN,09:25,TPE,峇迪航空、真航空,Trip.com,10371,20742,https://tinyurl.com/23ck7ca4
152,20:45,TSA,16:20,ICN,11:15,GMP,12:55,TSA,廈門航空、易斯達航空,Trip.com,8823,17646,https://tinyurl.com/2dxn9l5t
153,17:50,TPE,21:35,ICN,19:25,GMP,10:00,TPE,酷航、大韓航空,Trip.com,9745,19490,https://tinyurl.com/25au8wjs
154,18:40,TPE,11:00,GMP,08:55,ICN,14:25,TPE,中國東方航空,GotoGate,8801,17601,https://tinyurl.com/25s25xk8
155,10:35,TPE,14:05,ICN,12:35,ICN,14:10,TPE,真航空、中華航空,Trip.com,13846,27692,https://tinyurl.com/24pyqz9h
156,20:05,TPE,13:15,ICN,09:55,ICN,16:20,TPE,澳門航空,ly.com,8306,16612,https://tinyurl.com/27pgtupx
157,17:50,TPE,21:35,ICN,20:50,ICN,22:30,TPE,酷航、中華航空,Trip.com,13776,27552,https://tinyurl.com/26agelan
158,10:35,TPE,14:05,ICN,10:30,ICN,12:10,TPE,大韓航空,GotoGate,13857,27714,https://tinyurl.com/22df6zlp
159,10:30,TPE,13:55,ICN,12:55,ICN,17:40,TPE,易斯達航空、中國東方航空,Trip.com,12962,25924,https://tinyurl.com/22ayxpyt
160,18:55,TPE,22:35,ICN,09:00,GMP,13:40,TPE,大韓航空,ly.com,12935,25870,https://tinyurl.com/2blmsa8w
161,19:45,TSA,12:30,ICN,09:05,ICN,10:50,TPE,廈門航空、濟州航空,Trip.com,9902,19804,https://tinyurl.com/282c9gg5
162,14:00,TSA,17:25,GMP,10:00,ICN,11:30,TPE,德威航空、韓亞航空,Trip.com,13990,27980,https://tinyurl.com/24vgxadq
163,19:45,TSA,12:30,ICN,11:15,GMP,12:55,TSA,廈門航空、易斯達航空,Trip.com,9945,19890,https://tinyurl.com/2bu8qapm
164,17:10,TPE,20:40,ICN,10:30,ICN,12:10,TPE,韓亞航空、大韓航空,Kiwi.com,13921,27841,https://tinyurl.com/23qp2eq4
165,20:05,TPE,13:15,ICN,10:00,ICN,11:30,TPE,澳門航空、韓亞航空,Trip.com,9878,19756,https://tinyurl.com/254g27fj
166,14:50,TPE,08:25,GMP,07:50,ICN,09:25,TPE,濟州航空、真航空,Trip.com,9794,19588,https://tinyurl.com/25bbdrmb
167,02:50,TPE,21:30,GMP,07:50,ICN,09:25,TPE,濟州航空、真航空,Trip.com,9486,18972,https://tinyurl.com/2dz9ah8p
168,13:15,TPE,17:05,ICN,08:55,ICN,14:25,TPE,韓亞航空、中國東方航空,Kiwi.com,12770,25540,https://tinyurl.com/278q5or3
169,10:30,TPE,13:55,ICN,14:15,ICN,15:50,TPE,易斯達航空、韓亞航空,Trip.com,14085,28170,https://tinyurl.com/22gy2m3m
170,14:00,TSA,17:25,GMP,09:55,ICN,16:20,TPE,德威航空、澳門航空,Trip.com,12646,25292,https://tinyurl.com/27yur4kb
171,17:10,TPE,20:40,ICN,12:00,ICN,13:35,TPE,韓亞航空、長榮航空,Trip.com,14136,28272,https://tinyurl.com/28kcf7lh
172,17:10,TPE,20:40,ICN,13:50,GMP,15:25,TSA,韓亞航空、長榮航空,Trip.com,14136,28272,https://tinyurl.com/27wqddy8
173,17:50,TPE,21:35,ICN,16:10,ICN,17:50,TPE,酷航、大韓航空,Trip.com,14046,28092,https://tinyurl.com/2boeygx2
174,13:15,TPE,17:05,ICN,10:00,ICN,11:30,TPE,韓亞航空,Trip.com,14076,28152,https://tinyurl.com/2cpnqzxs
175,11:50,TPE,15:15,ICN,12:55,ICN,17:40,TPE,濟州航空、中國東方航空,Trip.com,13285,26570,https://tinyurl.com/29bhwv4s
176,19:45,TSA,12:30,ICN,08:55,ICN,14:25,TPE,廈門航空、中國東方航空,GotoGate,9064,18128,https://tinyurl.com/22tu2vqc
177,10:30,TPE,13:55,ICN,14:15,ICN,08:55,TPE,易斯達航空、澳門航空,Trip.com,9170,18340,https://tinyurl.com/2yd6y924
178,18:55,TPE,22:35,ICN,12:55,ICN,17:40,TPE,大韓航空、中國東方航空,Trip.com,13286,26572,https://tinyurl.com/29udfcf6
179,20:00,TPE,23:30,ICN,13:30,ICN,10:10,TPE,台灣虎航、廈門航空,Trip.com,8562,17124,https://tinyurl.com/2853fm78
180,10:30,TPE,13:55,ICN,11:40,GMP,15:40,TPE,易斯達航空、釜山航空,Trip.com,13674,27348,https://tinyurl.com/2xty58yo
181,11:50,TPE,15:15,ICN,14:15,ICN,15:50,TPE,濟州航空、韓亞航空,Trip.com,14408,28816,https://tinyurl.com/2c3e5a3l
182,17:50,TPE,21:35,ICN,22:35,ICN,12:45,TPE,酷航、香港快運航空,Trip.com,10570,21140,https://tinyurl.com/26bv68rb
183,18:55,TPE,22:35,ICN,14:15,ICN,15:50,TPE,大韓航空、韓亞航空,Trip.com,14409,28818,https://tinyurl.com/27qvlz8l
